Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
14,"A Bahloul, A Mahdavi, F Haghighat…","Evaluation of N95 filtering facepiece respirator efficiency with cyclic and constant flows",2014,"… of occupational and …","oeh.tandfonline.com","https://oeh.tandfonline.com/doi/abs/10.1080/15459624.2013.877590","https://scholar.google.com/scholar?cites=12904118869911768649&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-22 20:25:07","","","","",,,,,14,2.33,4,4,6,"… Evaluation of N95 Filtering Facepiece Respirator Efficiency … It was indicated that the constant flows equivalent to the minute volume or PIF of the cyclic flow could not accurately represent the penetration of the corresponding cyclic flow: the constant flow equal to the minute …"
54,"JP Eshbaugh, PD Gardner…","N95 and P100 respirator filter efficiency under high constant and cyclic flow",2008,"… of occupational and …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15459620802558196","https://scholar.google.com/scholar?cites=11486172739054994923&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-22 20:25:07","","","","",,,,,54,4.50,18,3,12,"… Constant and Cyclic Flow Jonathan P. Eshbaugh,1 Paul D. Gardner,2 Aaron W. Richardson,1 and Kent C. Hofacre1 … This study investigated the effect of high flow conditions on aerosol penetration and the relationship between penetration at constant and cyclic flow conditions …"
9,"KJ Cho, L Turkevich, M Miller, R McKay…","Penetration of fiber versus spherical particles through filter media and faceseal leakage of N95 filtering facepiece respirators with cyclic flow",2013,"… of occupational and …","oeh.tandfonline.com","https://oeh.tandfonline.com/doi/abs/10.1080/15459624.2012.752321","https://scholar.google.com/scholar?cites=17512139320265072709&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-22 20:25:07","","","","",,,,,9,1.29,2,5,7,"… Filter Media and Faceseal Leakage of N95 Filtering Facepiece Respirators with Cyclic Flow … This study investigated differences in penetration between fibers and spherical particles through faceseal leakage of an N95 filtering facepiece respirator …"
12,"A Mahdavi, F Haghighat, A Bahloul…","Particle loading time and humidity effects on the efficiency of an N95 filtering facepiece respirator model under constant and inhalation cyclic flows",2015,"Annals of …","academic.oup.com","https://academic.oup.com/annweh/article-abstract/59/5/629/2196149","https://scholar.google.com/scholar?cites=3181534753464060702&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-22 20:25:07","","","","",,,,,12,2.40,3,4,5,"… Ali Bahloul, Clothilde Brochot, Claude Ostiguy, Particle Loading Time and Humidity Effects on the Efficiency of an N95 Filtering Facepiece Respirator Model under … Experiments were performed mimicking an 'inhalation-only' scenario with a cyclic flow of 85 l min –1 as the minute …"
34,"KJ Cho, T Reponen, R Mckay, R Shukla…","Large particle penetration through N95 respirator filters and facepiece leaks with cyclic flow",2010,"Annals of …","academic.oup.com","https://academic.oup.com/annweh/article-abstract/54/1/68/152512","https://scholar.google.com/scholar?cites=2231050856747230973&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-22 20:25:07","","","","",,,,,34,3.40,7,5,10,"… One of the respirators extensively used in a variety of workplaces is a filtering facepiece respirator (FFR) because of its low price, comfort, and efficiency (Chen and Huang, 1998) … Much less is known about faceseal penetration into respirators, especially with cyclic flow …"
18,"X He, T Reponen, RT McKay…","Effect of particle size on the performance of an N95 filtering facepiece respirator and a surgical mask at various breathing conditions",2013,"Aerosol Science and …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/02786826.2013.829209","https://scholar.google.com/scholar?cites=12897373576584194530&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-22 20:25:07","","","","",,,,,18,2.57,5,4,7,"… (2010b). Large Particle Penetration through N95 Respirator Filters and Face- piece Leaks with Cyclic Flow. Ann. Occup … How Does Breathing Frequency Affect the Performance of an N95 Filtering Facepiece Respirator and a Surgical Mask against Surrogates of Viral Particles …"
11,"PD Gardner, JP Eshbaugh, SD Harpest…","Viable viral efficiency of N95 and P100 respirator filters at constant and cyclic flow",2013,"… of occupational and …","oeh.tandfonline.com","https://oeh.tandfonline.com/doi/abs/10.1080/15459624.2013.818228","https://scholar.google.com/scholar?cites=5785739153319786972&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-22 20:25:07","","","","",,,,,11,1.57,3,4,7,"… Tests were performed under two cyclic flow conditions (minute vol- umes of 85 and 135 L/min) and two constant flow … as pro- tective as a National Institute for Occupational Safety and Health (NIOSH) approved, fit-tested, N95 disposable filtering facepiece respirator (FFR) when …"
2,"A Mahdavi","Efficiency measurement of N95 filtering facepiece respirators against ultrafine particles under cyclic and constant flows",2013,"","spectrum.library.concordia.ca","https://spectrum.library.concordia.ca/977685/","https://scholar.google.com/scholar?cites=12055582240063705389&as_sdt=2005&sciodt=0,5&hl=en",8,"2020-05-22 20:25:07","","","","",,,,,2,0.29,2,1,7,"… of N95 Filtering Facepiece Respirator Efficiency against Ultrafine Particles Performed with Cyclic and Constant Flows ..... 58 4.2.1 Concentration Distributions ..... 58 4.2.2 Penetration in Terms of Constant and Cyclic Flow …"
18,"X He, T Reponen, R McKay…","How does breathing frequency affect the performance of an N95 filtering facepiece respirator and a surgical mask against surrogates of viral particles?",2014,"Journal of occupational …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15459624.2013.848037","https://scholar.google.com/scholar?cites=7688448169222812600&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-22 20:25:07","","","","",,,,,18,3.00,5,4,6,"… of an N95 Filtering Facepiece Respirator and a Surgical … period at a low-to-moderate work rate was not associated with clinically significant physiological impact or significant subjective perceptions of exertion or heat.(29–31) Human breathing has a cyclic flow pattern, which is …"
161,"SA Grinshpun, H Haruta, RM Eninger…","Performance of an N95 filtering facepiece particulate respirator and a surgical mask during human breathing: two pathways for particle penetration",2009,"… of occupational and …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15459620903120086","https://scholar.google.com/scholar?cites=15089341623124238695&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-22 20:25:07","","","","",,,,,161,14.64,40,4,11,"… One N95 filtering facepiece respirator and one surgical mask commonly used in health care environments were tested on 25 subjects (matching the latest National Institute for Occupa- tional Safety and Health fit testing panel) as the subjects per- formed conventional fit test …"
2,"JA Ramirez, PT O'Shaughnessy","The effect of simulated air conditions on N95 filtering facepiece respirators performance",2016,"Journal of occupational and …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15459624.2016.1143950","https://scholar.google.com/scholar?cites=2119256006947439223&as_sdt=2005&sciodt=0,5&hl=en",11,"2020-05-22 20:25:07","","","","",,,,,2,0.50,1,2,4,"… simulated air environmental conditions on the particle penetration and the breathing resistance of two N95 filtering facepiece respirator (FFR) models … R. Shukla, H. Haruta, and P. Sekar: Large particle penetration through N95 respirators filters and faceseal leaks with cyclic flow …"
71,"S Rengasamy, BC Eimer","Total inward leakage of nanoparticles through filtering facepiece respirators",2011,"Annals of occupational hygiene","academic.oup.com","https://academic.oup.com/annweh/article-abstract/55/3/253/150869","https://scholar.google.com/scholar?cites=3455938766736771764&as_sdt=2005&sciodt=0,5&hl=en",12,"2020-05-22 20:25:07","","","","",,,,,71,7.89,36,2,9,"… To address this issue, filter penetration and total inward leakage (TIL) through artificial leaks were measured for NIOSH-approved N95 and P100 and European certified Conformit'e Europe'en-marked FFP2 and FFP3 filtering facepiece respirator models sealed to a breathing …"
13,"S Gao, J Kim, M Yermakov, Y Elmashae…","Penetration of combustion aerosol particles through filters of niosh-certified Filtering Facepiece Respirators (FFRs)",2015,"… of occupational and …","oeh.tandfonline.com","https://oeh.tandfonline.com/doi/abs/10.1080/15459624.2015.1043057","https://scholar.google.com/scholar?cites=18064395323217156188&as_sdt=2005&sciodt=0,5&hl=en",13,"2020-05-22 20:25:07","","","","",,,,,13,2.60,3,5,5,"… Keywords combustion particles, filtering facepiece respirator, N95, penetration … The disagreement can also be attributed to differences in the experimental design and flow regime used in these two studies, eg, in the quoted investigation, cyclic flow regime was applied on a …"
4,"Q Wang, L Golshahi, DR Chen","Advanced testing method to evaluate the performance of respirator filter media",2016,"Journal of occupational and …","oeh.tandfonline.com","https://oeh.tandfonline.com/doi/abs/10.1080/15459624.2016.1177647","https://scholar.google.com/scholar?cites=15247771246428922756&as_sdt=2005&sciodt=0,5&hl=en",14,"2020-05-22 20:25:07","","","","",,,,,4,1.00,1,3,4,"… Google Scholar] The detailed information of the regulation can be found in Title 42 Code of Federal Regulations (CFR) Part 84, in which the filtering facepiece respirator media are … In reality, respirator filter media experiences cyclic flow because of the breathing of a human being …"
185,"A Bałazy, M Toivola, T Reponen…","Manikin-based performance evaluation of N95 filtering-facepiece respirators challenged with nanoparticles",2006,"Annals of …","academic.oup.com","https://academic.oup.com/annweh/article-abstract/50/3/259/169677","https://scholar.google.com/scholar?cites=4912211768337695356&as_sdt=2005&sciodt=0,5&hl=en",15,"2020-05-22 20:25:07","","","","",,,,,185,13.21,46,4,14,"Abstract. Protection of the human respiratory system from exposure to nanoparticles is becoming an emerging issue in occupational hygiene. The potential advers."
