Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
7,"TM Brady, AL Strauch, CM Almaguer…","Transfer of bacteriophage MS2 and fluorescein from N95 filtering facepiece respirators to hands: Measuring fomite potential",2017,"… of occupational and …","oeh.tandfonline.com","https://oeh.tandfonline.com/doi/abs/10.1080/15459624.2017.1346799","https://scholar.google.com/scholar?cites=14816525609207186654&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-22 20:37:28","","","","",,,,,7,2.33,2,4,3,"… Thirteen test subjects performed filtering facepiece respirator use scenarios including improper doffing, proper doffing and reuse, and improper doffing and reuse. Fluorescein and MS2 contamination transfer were quantified … N95 filtering facepiece respirator …"
43,"EM Fisher, RE Shaffer","Considerations for recommending extended use and limited reuse of filtering facepiece respirators in health care settings",2014,"Journal of occupational and …","oeh.tandfonline.com","https://oeh.tandfonline.com/doi/abs/10.1080/15459624.2014.902954","https://scholar.google.com/scholar?cites=9348822326425893681&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-22 20:37:28","","","","",,,,,43,7.17,22,2,6,"… Factors that influence the risk of self- inoculation directly associated with handling a contaminated FFR include the quantity of respiratory pathogens deposited on the FFR surface (ie, contamination levels), viability of the pathogen, transfer efficiency of the pathogen from FFRs to …"
1,"AD Coulliette, KA Perry, EM Fisher…","MS2 Coliphage as a Surrogate for 2009 Pandemic Influenza A (H1N1) Virus (pH1N1) in Surface Survival Studies on N95 Filtering Facepiece Respirators",2014,"Journal of the …","ncbi.nlm.nih.gov","https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4615560/","https://scholar.google.com/scholar?cites=15300816246579967317&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-22 20:37:28","HTML","","","",,,,,1,0.17,0,4,6,"… Reaerosolization of MS2 Bacteriophage from an N95 Filtering Facepiece Respirator by Simulated Coughing. Ann Occup Hyg … Transfer Efficiency of bacteria and viruses from Porous and Nonporous Fomites to Fingers under Different Relative Humidity Conditions …"
1,"EM Fisher, RE Shaffer","Commentary Considerations for Recommending Extended Use and Limited Reuse of Filtering Facepiece Respirators in Health Care Settings",2014,"J. Occup. Environ. Hyg","researchgate.net","https://www.researchgate.net/profile/Edward_Fisher2/publication/260838894_Considerations_for_Recommending_Extended_Use_and_Limited_Reuse_of_Filtering_Facepiece_Respirators_in_Health_Care_Settings/links/5e975e04a6fdcca7891c19fc/Considerations-for-Recommending-Extended-Use-and-Limited-Reuse-of-Filtering-Facepiece-Respirators-in-Health-Care-Settings.pdf","https://scholar.google.com/scholar?cites=1917227145846359119&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-22 20:37:28","PDF","","","",,,,,1,0.17,1,2,6,"… Factors that influence the risk of self-inoculation directly associated with handling a contaminated FFR include the quantity of respiratory pathogens deposited on the FFR surface (ie, contamination levels), viability of the pathogen, transfer efficiency of the pathogen from FFRs to …"
119,"M Nicas, RM Jones","Relative contributions of four exposure pathways to influenza infection risk",2009,"Risk Analysis: An International Journal","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1539-6924.2009.01253.x","https://scholar.google.com/scholar?cites=9202962386056594851&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-22 20:37:28","","","","",,,,,119,10.82,60,2,11,"… physical distance, the only appropriate control for pathway (3) is wearing respiratory protection (at a minimum, an N95 filtering facepiece respirator) … A virus transferred to the fingers from paper tissues and from stainless steel suggest that the virus transfer efficiency per touch is …"
0,"SR Sud","COVID-19 and keeping clean: a narrative review to ascertain the efficacy of personal protective equipment to safeguard healthcare workers against SARS-CoV-2",2020,"Hospital Pediatrics","Am Acad Pediatrics","https://hosppeds.aappublications.org/content/hosppeds/early/2020/05/07/hpeds.2020-0135.full.pdf?download=true","",6,"2020-05-22 20:37:28","","","","",,,,,0,0.00,0,1,1,"… Transfer efficiency of bacteria and viruses from porous and nonporous fomites to fingers under different relative humidity conditions. Appl Environ Microbiol … Reaerosolization of MS2 bacteriophage from an N95 filtering facepiece respirator by simulated coughing …"
95,"M Nicas, G Sun","An integrated model of infection risk in a health‐care environment",2006,"Risk Analysis","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1539-6924.2006.00802.x","https://scholar.google.com/scholar?cites=12851475918373146097&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-22 20:37:28","","","","",,,,,95,6.79,48,2,14,"… The transfer efficiency of bacteria from a textile surface to a fingertip during one touch is approximately 0.1 … Absent experimental data on the transfer efficiency from the fingertips to a textile surface, we assume that λ 42 =λ 24 …"
0,"NR NR, MNV PA","Author Virusa Assayb Implement Eluentc Surfaced",2017,"Survival, Recovery, and Inactivation of …","pdfs.semanticscholar.org","https://pdfs.semanticscholar.org/b9aa/51bad29411b97e2e56b3fccbdecc74c25273.pdf#page=39","",8,"2020-05-22 20:37:28","PDF","","","",,,,,0,0.00,0,2,3,"… 2013. Transfer efficiency of bacteria and viruses from porous and nonporous fomites to fingers under different relative humidity conditions. Appl Environ Microbiol 79: 5728–5734 … Fisher E, Shaffer R. 2010. Survival of bacteriophage MS2 on filtering facepiece respirator coupons …"
6,"D Buckley, A Fraser, G Huang, X Jiang","Recovery optimization and survival of the human norovirus surrogates feline calicivirus and murine norovirus on carpet",2017,"Appl. Environ. Microbiol.","Am Soc Microbiol","https://aem.asm.org/content/83/22/e01336-17.short","https://scholar.google.com/scholar?cites=9573323792951271868&as_sdt=2005&sciodt=0,5&hl=en",9,"2020-05-22 20:37:28","","","","",,,,,6,2.00,2,4,3,""
24,"T Yeargin, D Buckley, A Fraser, X Jiang","The survival and inactivation of enteric viruses on soft surfaces: a systematic review of the literature",2016,"American journal of infection …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0196655316002765","https://scholar.google.com/scholar?cites=7051714407399910674&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-22 20:37:28","","","","",,,,,24,6.00,6,4,4,"… many soft surfaces (eg, carpeted floors, upholstered furniture, and draperies), which epidemiologic evidence suggests the surfaces may play a role in transmission of enteric viruses.9, 10, 11, 12, 13 Secondly, laboratory studies investigating transfer efficiency have demonstrated …"
