Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
22,"JJ Lowe, KD Paladino, JD Farke, K Boulter…","N95 filtering facepiece respirator ultraviolet germicidal irradiation (UVGI) process for decontamination and reuse",2020,"Nebraska …","nebraskamed.com","https://www.nebraskamed.com/sites/default/files/documents/covid-19/n-95-decon-process.pdf","https://scholar.google.com/scholar?cites=16080401930019832580&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-22 20:04:38","PDF","","","",,,,,22,22.00,4,5,1,"The ongoing pandemic of SARS-CoV-2 resulting in COVID-19 has severely stressed the worldwide healthcare system and has created dangerous shortages of personal protective equipment (PPE) including N95 filtering facepiece respirators (N95 FFRs). In an effort to …"
7,"K O'Hearn, S Gertsman, M Sampson, R Webster…","Decontaminating N95 masks with Ultraviolet Germicidal Irradiation (UVGI) does not impair mask efficacy and safety: A Systematic Review",2020,"","osf.io","https://osf.io/preprints/29z6u/","https://scholar.google.com/scholar?cites=2828249623251653785&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-22 20:04:38","","","","",,,,,7,7.00,1,5,1,"… preparedness study: use of energetic methods to decontaminate filtering facepiece respirators contaminated with H1N1 … Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 Respirator Filtration … Humidity and Spraying Medium on Ultraviolet (UV) Decontamination of Filters …"
10,"IH Hamzavi, AB Lyons, I Kohli, S Narla…","Ultraviolet germicidal irradiation: possible method for respirator disinfection to facilitate reuse during COVID-19 pandemic",2020,"Journal of the American …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0190962220305089","https://scholar.google.com/scholar?cites=8948824437180958626&as_sdt=2005&sciodt=0,5&hl=en",3,"2020-05-22 20:04:38","","","","",,,,,10,10.00,2,5,1,"… exposure, while decontaminating, may also reduce the efficacy of the respirator and decrease … A method to determine the available UV-C dose for the decontamination of filtering … Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 Respirator Filtration Performance and …"
50,"WG Lindsley, SB Martin Jr, RE Thewlis…","Effects of ultraviolet germicidal irradiation (UVGI) on N95 respirator filtration performance and structural integrity",2015,"… of occupational and …","Taylor & Francis","https://www.tandfonline.com/doi/abs/10.1080/15459624.2015.1018518","https://scholar.google.com/scholar?cites=9162131379664402906&as_sdt=2005&sciodt=0,5&hl=en",4,"2020-05-22 20:04:38","","","","",,,,,50,10.00,13,4,5,"… In the lab, UVGI has been successfully used to decontaminate N95 respirators exposed to the … will assist in the evaluation of UVGI as a potential method for FFR decontamination and in … Straps were removed from respirators, both sides were exposed to UVGI, and their maximum …"
53,"D Mills, DA Harnish, C Lawrence…","Ultraviolet germicidal irradiation of influenza-contaminated N95 filtering facepiece respirators",2018,"American journal of …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0196655318301408","https://scholar.google.com/scholar?cites=10956150867334861254&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-22 20:04:38","","","","",,,,,53,26.50,13,4,2,"… 17 According to the Institute of Medicine, any method decontaminating a disposable N95 FFR must … for a 200-cm 2 FFR, requiring a 3-log reduction to fully decontaminate … in viable influenza were still observed for both soiling agents, indicating UVGI decontamination of influenza …"
1,"D Farsi, M Mofidi, B Mahshidfar…","Consider the Options; Can Decontamination and Reuse be the Answer to N95 Respirator Shortage in COVID-19 Pandemic?",2020,"Advanced Journal of …","ajem.tums.ac.ir","http://ajem.tums.ac.ir/index.php/ajem/article/view/378","https://scholar.google.com/scholar?cites=10515726869981920940&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-22 20:04:38","","","","",,,,,1,1.00,0,4,1,"… reported results in support of hot air in oven, UVGI and hot … A pandemic influenza preparedness study: use of energetic methods to decontaminate filtering facepiece respirators contaminated with … spores loaded on filtering facepiece respirators after five decontamination methods …"
15,"TH Lin, FC Tang, PC Hung, ZC Hua, CY Lai","Relative survival of Bacillus subtilis spores loaded on filtering facepiece respirators after five decontamination methods",2018,"Indoor air","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1111/ina.12475","https://scholar.google.com/scholar?cites=391067346083292649&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-22 20:04:38","","","","",,,,,15,7.50,3,5,2,"… using (i) ethanol and (ii) bleach, and physical decontamination using (iii) UVGI, (iv) an … on N95 FFRs survived after 24 hours of storage without decontamination, whereas only … UVA and UVC irradiation, respectively (Figure 6). Although UVA could not decontaminate as effectively …"
0,"JM Branley","Can we reuse P2/N95 respirators? Current evidence and urgent research questions",2020,"","mja.com.au","https://www.mja.com.au/system/files/2020-04/Preprint%20Branley%209%20April%202020_0.pdf","",8,"2020-05-22 20:04:38","PDF","","","",,,,,0,0.00,0,1,1,"… decontaminating RNA virus-contaminated water in polyethylene terephthalate … decontamination of P2/N95 respirators to support protection of HCWs and patients … Effects of Ultraviolet Germicidal Irradiation (UVGI) on N95 Respirator Filtration Performance and Structural Integrity …"
0,"K Wharton, BSNM Rieker","N95 Respirator Decontamination and Reuse: Current State of the Evidence",,"sofia.medicalistes.fr","","https://sofia.medicalistes.fr/spip/IMG/pdf/n95_respirator_decontamination_and_reuse_current_state_of_evidence_wharton-rieker_.pdf","",9,"2020-05-22 20:04:38","PDF","","","",,,,,0,0.00,0,2,,"… preparedness study: use of energetic methods to decontaminate filtering facepiece respirators contaminated with … Analysis of residual chemicals on filtering facepiece respira- tors after decontamination … Effects of ultraviolet germicidal irradiation (UVGI) on N95 respirator filtration …"
3,"S Gertsman, A Agarwal, K O'Hearn, R Webster…","Microwave-and Heat-Based Decontamination of N95 Filtering Facepiece Respirators (FFR): A Systematic Review",2020,"","osf.io","https://osf.io/preprints/4whsx/","https://scholar.google.com/scholar?cites=3688691534089103249&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-22 20:04:38","","","","",,,,,3,3.00,1,5,1,"… equipment are common. One solution may be to decontaminate equipment such as facemasks for reuse … for decontamination of N95 FFRs during a PPE shortage, especially for institutions that do not have access to UVGI apparatus …"
