Citation number,Intext command,Citation in paper as of 5/27/2020,Included in PRISMA?
1,3M ,"3M. Disinfection of Filtering Facepiece Respirators. Bulletin. 
U.S. Department of Labor, 2020.",Y
2,anderegg2020 ,L. Anderegg et al. “A Scalable Method of Applying Heatand Humidity for Decontamination of N95 RespiratorsDuring the COVID-19 Crisis”. In:medRxiv(2020).DOI:10.1101/2020.04.09.20059758.,Y
3,aydin2020,"O. Aydin, B. Emon, and T. Saif. “Performance of fab-rics for home-made masks against spread of respiratoryinfection through droplets: a quantitative mechanisticstudy”. In:medRxiv(2020).",Y
4,bae2020,S. Bae et al. “Effectiveness of Surgical and Cotton Masksin Blocking SARS-CoV-2: A Controlled Comparison in 4Patients”. In:Annals of Internal Medicine(2020).,Y
5,bahl2020,"Prateek Bahl et al. “Airborne or droplet precautions forhealth workers treating COVID-19?” eng. In:The Journalof infectious diseases(Apr. 2020), jiaa189.ISSN: 1537-6613.DOI:10.1093/infdis/jiaa189",N
6,haghighat ,A. Bahloul et al. “Development of a Procedure to Mea-sure the Effectiveness of N05 Respirator Filters AgainstNanoparticles Report R-754”. In:IRSST Studies and Re-search Projects(2012).,Y
7,balazy2006 ,"A.M. Balazy et al. “Manikin-based performance evalu-ation of N95 filtering-facepiece respirators challengedwith nanoparticles”. In:Ann. Occup. Hyg.(2006),pp. 259–269.DOI:10.1093/annhyg/mei058",Y
8,bean1982 ,"B. Bean et al. “Survival of Influenza Viruses on Envi-ronmental Surfaces”. In:The Journal of Infectious Diseases146.1 (2011), pp. 47–51",Y
9,bergman2010,"M.S. Bergman et al. “Evaluation of Multiple (3-Cycle) Decontamination Processing for Filtering Facepiece Res-pirators”. In:Journal of Engineered Fibers and Fabrics5.4(2010), pp. 33–41.",Y
10,bergman2012,"M.S. Bergman et al. “Impact of multiple consecutivedonnings on filtering facepiece respirator fit”. In:Amer-ican Journal of Infection Control40.4 (2012), pp. 375–380",Y
11,bergman2011,"M.S. Bergman et al. “Impact of Three Cycles of Decon-tamination Treatments on Filtering Facepiece RespiratorFit”. In:Journal of the International Society for RespiratoryProtection28.1 (2011), pp. 48–59.",Y
12,bidwell2004,"J.O. Bidwell and L.L. Janssen. “Workplace Performanceof an N95 Respirator in a Concrete Block ManufacturingPlant”. In:Journal of the International Society for Respira-tory Protection21 (2004), pp. 94–102.",N
13,birkner2011,"J.S. Birkner et al. “Particle release from respirators, part I:determination of the effect of particle size, drop height,and load.” In:Journal of Occupational and EnvironmentalHygiene8.1 (2011), pp. 1–9.",Y
14,bourouiba2014 ,"L. Bourouiba, E. Dehandschoewercker, and J. Bush. “Vi-olent expiratory events: on coughing and sneezing”. In:Journal of Fluid Mechanics(2014), pp. 537–563",N
15,bourouiba2020 ,"Lydia Bourouiba. “Turbulent Gas Clouds and Respira-tory Pathogen Emissions: Potential Implications for Re-ducing Transmission of COVID-19”. In:JAMA323.18(May 2020), pp. 1837–1838.ISSN: 0098-7484",Y
16,brady2017,"T.M. Brady et al. “Transfer of bacteriophage MS2 andfluorescein from N95 filtering facepiece respirators tohands: Measuring fomite potential”. In:J. Occup. Envi-ron. Hyg.14.11 (2017), pp. 898–906.",Y
17,battelle2016 ,"B. Brooks.Final Report for the Bioquell Hydrogen PeroxideVapor (HPV) Decontamination for Reuse of N95 Respirators.Tech. rep. Battelle, 2016",Y
18,casanova2010,"L. Casanova et al. “Coronavirus Survival on HealthcarePersonal Protective Equipment”. In:Infection Control andHospital Epidemiology31.5 (2010), pp. 560–561.",Y
19,schulte1964,"USN CDR John H. Schulte MC. “Sealed Environmentsin Relation to Health and Disease”. In:Archives of En-vironmental Health: An International Journal8.3 (1964).PMID: 14097291, pp. 438–452",N
20,cherrie2018,"J.W. Cherrie et al. “Effectiveness of face masks used toprotect Beijing residents against particulate air pollu-tion”. In:Occup. Environ. Med.75 (2018), pp. 446–452.DOI:",Y
21,chin,A. Chin et al. “Stability of SARS-CoV-2 in different environmental conditions”. In:The Lancet (2020),Y
22,cho2010a,"K.J. Cho et al. “Effect of Particle Size on Respiratory Protection Provided by Two Types of N95 Respirators Usedin Agricultural Settings”. In:Journal of Occupational andEnvironmental Hygiene7 (2010), pp. 622–627.",Y
