PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"27531371","Evaluating the efficacy of cloth facemasks in reducing particulate matter exposure","Shakya KM, Noyes A, Kallin R, Peltier RE.","J Expo Sci Environ Epidemiol. 2017 May;27(3):352-357. doi: 10.1038/jes.2016.42. Epub 2016 Aug 17.","Shakya KM","J Expo Sci Environ Epidemiol","2017","2016/08/18","","","10.1038/jes.2016.42"
"20584862","Simple respiratory protection--evaluation of the filtration performance of cloth masks and common fabric materials against 20-1000 nm size particles","Rengasamy S, Eimer B, Shaffer RE.","Ann Occup Hyg. 2010 Oct;54(7):789-98. doi: 10.1093/annhyg/meq044. Epub 2010 Jun 28.","Rengasamy S","Ann Occup Hyg","2010","2010/06/30","","","10.1093/annhyg/meq044"
"30015155","Electret nanofibrous membrane with enhanced filtration performance and wearing comfortability for face mask","Wang N, Cai M, Yang X, Yang Y.","J Colloid Interface Sci. 2018 Nov 15;530:695-703. doi: 10.1016/j.jcis.2018.07.021. Epub 2018 Jul 10.","Wang N","J Colloid Interface Sci","2018","2018/07/18","","","10.1016/j.jcis.2018.07.021"
"27540979","A comparison of facemask and respirator filtration test methods","Rengasamy S, Shaffer R, Williams B, Smit S.","J Occup Environ Hyg. 2017 Feb;14(2):92-103. doi: 10.1080/15459624.2016.1225157.","Rengasamy S","J Occup Environ Hyg","2017","2016/08/20","PMC7157953","","10.1080/15459624.2016.1225157"
"29707364","Assessment of a respiratory face mask for capturing air pollutants and pathogens including human influenza and rhinoviruses","Zhou SS, Lukula S, Chiossone C, Nims RW, Suchmann DB, Ijaz MK.","J Thorac Dis. 2018 Mar;10(3):2059-2069. doi: 10.21037/jtd.2018.03.103.","Zhou SS","J Thorac Dis","2018","2018/05/01","PMC5906272","","10.21037/jtd.2018.03.103"
"20359769","A randomised controlled pilot study to compare filtration factor of a novel non-fit-tested high-efficiency particulate air (HEPA) filtering facemask with a fit-tested N95 mask","Au SS, Gomersall CD, Leung P, Li PT.","J Hosp Infect. 2010 Sep;76(1):23-5. doi: 10.1016/j.jhin.2010.01.017. Epub 2010 Mar 31.","Au SS","J Hosp Infect","2010","2010/04/03","PMC7114828","","10.1016/j.jhin.2010.01.017"
"25903751","A cluster randomised trial of cloth masks compared with medical masks in healthcare workers","MacIntyre CR, Seale H, Dung TC, Hien NT, Nga PT, Chughtai AA, Rahman B, Dwyer DE, Wang Q.","BMJ Open. 2015 Apr 22;5(4):e006577. doi: 10.1136/bmjopen-2014-006577.","MacIntyre CR","BMJ Open","2015","2015/04/24","PMC4420971","","10.1136/bmjopen-2014-006577"
"31141754","Evaluation of filtration characteristics and microbial recovery rates of commercial filtering facepiece respirators against airborne bacterial particles","Jeong SB, Ko HS, Seo SC, Jung JH.","Sci Total Environ. 2019 Sep 10;682:729-736. doi: 10.1016/j.scitotenv.2019.05.153. Epub 2019 May 16.","Jeong SB","Sci Total Environ","2019","2019/05/30","","","10.1016/j.scitotenv.2019.05.153"
"15749326","Protecting healthcare staff from severe acute respiratory syndrome: filtration capacity of multiple surgical masks","Derrick JL, Gomersall CD.","J Hosp Infect. 2005 Apr;59(4):365-8. doi: 10.1016/j.jhin.2004.10.013.","Derrick JL","J Hosp Infect","2005","2005/03/08","PMC7114845","","10.1016/j.jhin.2004.10.013"
"28039289","Cluster randomised controlled trial to examine medical mask use as source control for people with respiratory illness","MacIntyre CR, Zhang Y, Chughtai AA, Seale H, Zhang D, Chu Y, Zhang H, Rahman B, Wang Q.","BMJ Open. 2016 Dec 30;6(12):e012330. doi: 10.1136/bmjopen-2016-012330.","MacIntyre CR","BMJ Open","2016","2017/01/01","PMC5223715","","10.1136/bmjopen-2016-012330"
"29910210","Comparison of the Filter Efficiency of Medical Nonwoven Fabrics against Three Different Microbe Aerosols","Shimasaki N, Okaue A, Kikuno R, Shinohara K.","Biocontrol Sci. 2018;23(2):61-69. doi: 10.4265/bio.23.61.","Shimasaki N","Biocontrol Sci","2018","2018/06/19","","","10.4265/bio.23.61"
"17542408","Evaluation of the efficiency of medical masks and the creation of new medical masks","Huang JT, Huang VI.","J Int Med Res. 2007 Mar-Apr;35(2):213-23. doi: 10.1177/147323000703500205.","Huang JT","J Int Med Res","2007","2007/06/05","","","10.1177/147323000703500205"
"32329337","Aerosol Filtration Efficiency of Common Fabrics Used in Respiratory Cloth Masks","Konda A, Prakash A, Moss GA, Schmoldt M, Grant GD, Guha S.","ACS Nano. 2020 Apr 24:acsnano.0c03252. doi: 10.1021/acsnano.0c03252. Online ahead of print.","Konda A","ACS Nano","2020","2020/04/25","PMC7185834","","10.1021/acsnano.0c03252"
"17096360","In vivo protective performance of N95 respirator and surgical facemask","Li Y, Wong T, Chung J, Guo YP, Hu JY, Guan YT, Yao L, Song QW, Newton E.","Am J Ind Med. 2006 Dec;49(12):1056-65. doi: 10.1002/ajim.20395.","Li Y","Am J Ind Med","2006","2006/11/11","","","10.1002/ajim.20395"
"23108786","Evaluation of N95 respirator use with a surgical mask cover: effects on breathing resistance and inhaled carbon dioxide","Sinkule EJ, Powell JB, Goss FL.","Ann Occup Hyg. 2013 Apr;57(3):384-98. doi: 10.1093/annhyg/mes068. Epub 2012 Oct 29.","Sinkule EJ","Ann Occup Hyg","2013","2012/10/31","","","10.1093/annhyg/mes068"
"20095070","Protecting healthcare workers from pandemic influenza: N95 or surgical masks?","Gralton J, McLaws ML.","Crit Care Med. 2010 Feb;38(2):657-67. doi: 10.1097/ccm.0b013e3181b9e8b3.","Gralton J","Crit Care Med","2010","2010/01/23","","","10.1097/ccm.0b013e3181b9e8b3"
"28402502","Evaluation of human body irradiation caused by radionuclides deposited in the filtration unit of gas mask","Cerny R, Johnova K, Otahal P, Thinova L, Kluson J.","Radiat Prot Dosimetry. 2017 Dec 1;177(3):289-294. doi: 10.1093/rpd/ncx043.","Cerny R","Radiat Prot Dosimetry","2017","2017/04/13","","","10.1093/rpd/ncx043"
"30229968","Modeling the Effectiveness of Respiratory Protective Devices in Reducing Influenza Outbreak","Yan J, Guha S, Hariharan P, Myers M.","Risk Anal. 2019 Mar;39(3):647-661. doi: 10.1111/risa.13181. Epub 2018 Sep 19.","Yan J","Risk Anal","2019","2018/09/20","","","10.1111/risa.13181"
