Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract
23,"K Majchrzycka, M Okrasa, J Skóra…","Evaluation of the survivability of microorganisms deposited on filtering respiratory protective devices under varying conditions of humidity",2016,"International journal of …","mdpi.com","https://www.mdpi.com/1660-4601/13/1/98","https://scholar.google.com/scholar?cites=4642177647886424025&as_sdt=2005&sciodt=0,5&hl=en",1,"2020-05-22 20:09:37","","","","",,,,,23,5.75,6,4,4,"… The survivability of microorganisms on filter materials was measured using a modified quantitative … of the collected condensing liquid depends on the geometry of the filter, filtration efficiency and … phase can cause migration of accumulated moisture into the filtering devices, and …"
3,"K Majchrzycka, M Okrasa, J Szulc, A Jachowicz…","Survival of Microorganisms on Nonwovens Used for the Construction of Filtering Facepiece Respirators",2019,"International journal of …","mdpi.com","https://www.mdpi.com/1660-4601/16/7/1154","https://scholar.google.com/scholar?cites=11334433273573264893&as_sdt=2005&sciodt=0,5&hl=en",2,"2020-05-22 20:09:37","","","","",,,,,3,3.00,1,5,1,"… Keywords: filtering nonwovens; microorganisms survivability; filtering facepiece respirators; respiratory protection … Filtering facepiece respirators are multilayer products … area is usually between 20 and 50 g/m 2 . The next layer is a needled nonwoven responsible for pre-filtration …"
0,"K Majchrzycka, M Okrasa, A Brochocka…","P066_0320_ BIOACTIVE NONWOVENS WITH SUPERABSORBING POLYMERS FOR FILTERING FACEPIECE RESPIRATORS USED IN HEAVY-DUTY …",2019,"Proceedings of the …","ojs.ugent.be","https://ojs.ugent.be/autex/article/view/15605","",3,"2020-05-22 20:09:37","","","","",,,,,0,0.00,0,4,1,"… 2. Majchrzycka K, Okrasa M, Skóra J, Gutarowska B. Evaluation of the Survivability of Microorganisms … Determination of particle filter penetration … A.; Gutarowska, B. Survival of Microorganisms on Nonwovens Used for the Construction of Filtering Facepiece Respirators …"
0,"K Majchrzycka, M Okrasa, P Kozikowski…","4B3_0152_ MICROBIAL GROWTH IN THE NONWOVEN MATERIALS OF DUST-LOADED FILTERING FACEPIECE RESPIRATORS",2019,"Proceedings of the …","ojs.ugent.be","https://ojs.ugent.be/autex/article/view/11643","",4,"2020-05-22 20:09:37","","","","",,,,,0,0.00,0,4,1,"… 1. Majchrzycka K, Okrasa M, Skóra J, Gutarowska B. Evaluation of the Survivability of Microorganisms … K, Okrasa M, Skóra J, Gutarowska B, The impact of dust in filter materials of … M, Jachowicz A, Szulc J, Gutarowska B. Microbial Growth on Dust-Loaded Filtering Materials Used …"
6,"N Serfozo, J Ondracek, N Zíková, M Lazaridis…","Size-resolved penetration of filtering materials from CE-marked filtering facepiece respirators",2017,"Aerosol and Air Quality …","aaqr.org","https://aaqr.org/articles/aaqr-16-09-oa-0390","https://scholar.google.com/scholar?cites=14482633407417543391&as_sdt=2005&sciodt=0,5&hl=en",5,"2020-05-22 20:09:37","","","","",,,,,6,2.00,1,5,3,"… of oil mist, and further dilution in the cyclone with 83 L min–1 of filtered air … 3(b)). The percentage penetration criterion of this filtering class is ≤ 6% (at 600 nm MMD) … Respirator 12 had, in all four filter measurements penetrations > 6%, with a median penetration of 17.7% (11.8 …"
3,"SB Jeong, HS Ko, SC Seo, JH Jung","Evaluation of filtration characteristics and microbial recovery rates of commercial filtering facepiece respirators against airborne bacterial particles",2019,"Science of The Total Environment","Elsevier","https://www.sciencedirect.com/science/article/pii/S0048969719321795","https://scholar.google.com/scholar?cites=6229483240769632581&as_sdt=2005&sciodt=0,5&hl=en",6,"2020-05-22 20:09:37","","","","",,,,,3,3.00,1,4,1,"… The eight filtering facepiece respirators were classified into two categories based on filter grade, as mentioned earlier. Groups A and B correspond to FFP2 (eg, KF94, N95) and FFP1 (eg, KF80) standards, respectively … Table 1. Specifications of tested face mask filters …"
5,"I Rubino, HJ Choi","Respiratory protection against pandemic and epidemic diseases",2017,"Trends in biotechnology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0167779917301336","https://scholar.google.com/scholar?cites=14786588988353531460&as_sdt=2005&sciodt=0,5&hl=en",7,"2020-05-22 20:09:37","","","","",,,,,5,1.67,3,2,3,"… et al.Evaluation of physical capture efficiency and disinfection capability of an iodinated biocidal filter medium … 210. Google Scholar. 12 S. Rengasamy, et al.Evaluation of the survivability of MS2 viral aerosols deposited on filtering face piece respirator samples incorporating …"
0,"KR Wigginton, PJ Arts, H Clack, WJ Fitzsimmons…","Validation of N95 filtering facepiece respirator decontamination methods available at a large university hospital",2020,"medRxiv","medrxiv.org","https://www.medrxiv.org/content/10.1101/2020.04.28.20084038v1.abstract","",8,"2020-05-22 20:09:37","","","","",,,,,0,0.00,0,5,1,"… 2 Introduction Filtering facepiece respirators (FFRs) are a critical component of infection prevention in hospitals … tangential flow filtration system (Millipore, Burlington, MA) with a 30 kDa cellulose filter … The final phi6 virus stocks (~1012 PFU/mL) were filtered sterilized through 0.22 …"
0,"M Ali","ANTIMICROBIAL AGENT TREATED FILTERING FACEPIECE RESPIRATORS FOR INACTIVATION OF AIRBORNE VIRUSES DURING ENVIRONMENTAL …",,"whitesscience.com","","http://whitesscience.com/wp-content/uploads/woocommerce_uploads/2016/12/IJIBCS_9_39-46.pdf","",9,"2020-05-22 20:09:37","PDF","","","",,,,,0,0.00,0,1,,"… 41 layers, of which one is a filtering medium containing PSTI … To increase the aerosol flow to the NIOSH recommended face velocity of 14.2 cm/s through the filter medium, HEPA-filtered dilution air was added through a “T” fitting at the base of the rotameter which was …"
1,"M Okrasa, J Hitz, A Nowak, A Brochocka…","Adsorption Performance of Activated-Carbon-Loaded Nonwoven Filters Used in Filtering Facepiece Respirators",2019,"International journal of …","mdpi.com","https://www.mdpi.com/1660-4601/16/11/1973","https://scholar.google.com/scholar?cites=13941219597340768782&as_sdt=2005&sciodt=0,5&hl=en",10,"2020-05-22 20:09:37","","","","",,,,,1,1.00,0,5,1,"… In addition to polymer filtering materials of varying effectiveness, they also contain a layer (or several layers) of … During the test, dry compressed air was delivered to the system through a particulate filter equipped with a … Morphology of Activated-Carbon-Loaded Nonwoven Filters …"
